name,group,SI_ratio
pre101,control,0.821767231
pre102,resilient,0.85335724
pre103,resilient,0.987414637
pre104,control,1.025666085
pre105,control,1.005342799
pre106,resilient,0.874999552
pre107,resilient,0.559255722
pre108,susceptible,0.283461296
pre109,resilient,1.260802855
pre110,control,0.387141323
pre111,susceptible,0.159015299
pre112,resilient,1.491852667
pre113,susceptible,0.351275438
pre114,susceptible,0.288750278
pre115,resilient,0.561341409
pre201,control,0.720896836
pre202,resilient,0.87938644
pre203,susceptible,0.440180075
pre205,resilient,1.094925361
pre212,susceptible,0.520360739
pre213,control,0.773216154
pre214,susceptible,0.342561554
pre215,susceptible,0.006028635
pre216,control,1.127711951
pre217,resilient,1.148413184
pre218,susceptible,0.284910047
pre219,susceptible,0.3221952
pre301,susceptible,0.322924336
pre302,resilient,0.902620479
pre303,resilient,1.105527958
pre304,resilient,1.020635191
pre305,resilient,1.025109121
pre306,resilient,1.085084901
pre307,susceptible,0.227060916
pre308,resilient,1.085018554
pre309,resilient,0.809947533
pre310,susceptible,0.152075586
pre311,resilient,1.235208334
pre312,resilient,0.832179991
pre313,susceptible,0.16612104
pre314,resilient,0.848455107
pre315,resilient,0.893956669
pre401,resilient,1.102145076
pre402,resilient,1.574824939
pre403,control,0.995323744
pre404,resilient,1.174853464
pre405,control,0.764291458
pre406,control,0.594167332
pre407,resilient,1.107931426
pre408,resilient,0.561365186
pre409,resilient,1.439667237
pre410,control,1.345240395
pre411,resilient,1.439261852
pre412,control,0.834851338
pre413,resilient,1.155995096
pre414,resilient,0.609393294
pre415,resilient,1.106271483
pre416,susceptible,0.386263113
pre417,susceptible,0.144348949
pre418,resilient,0.86549648
pre419,control,1.078948188
pre420,resilient,1.229451486
pre501,resilient,0.86370571
pre502,control,0.713309159
pre503,resilient,0.57060232
pre504,resilient,0.891546139
pre505,control,0.737709287
pre506,control,0.6245775
pre507,resilient,1.331184209
pre508,susceptible,0.47028396
pre509,control,1.082262877
pre510,susceptible,0.167077608
pre511,control,1.044819918
pre513,control,0.962890457
pre514,resilient,0.862095362
pre515,susceptible,0.205040597
