group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,distance_from_origin_mean,distance_from_origin_std,distance_from_origin_min,distance_from_origin_max,velocity_xy_mean,velocity_xy_std,velocity_xy_min,velocity_xy_max,velocity_z_mean,velocity_z_std,velocity_z_min,velocity_z_max,length_mean,length_std,length_min,length_max,height_mean,height_std,height_min,height_max,torso_angle_mean,torso_angle_std,torso_angle_min,torso_angle_max,angle_to_origin_mean,angle_to_origin_std,angle_to_origin_min,angle_to_origin_max,frequency,total_duration,duration
control,pre101,0,0.30011393493862815,1.7432903614037931,-3.065186725,3.126728459,0.04115098472683515,6.183399534191287,-124.8419552,123.7980275,15.734907666154031,6.663297877339485,2.343171909,42.52848852,6.406942489709988,1.9145974460658848,0.49169091,9.05145491,3.7598751039374245,3.3231984466615887,0.008225872,21.44654526,1.6410596619807463,1.2670242798865425,0.000400327,6.343668778,4.925529372986763,1.0380059828377812,2.634644389,7.218402462,1.4845138803561975,0.8879570681864147,0.007018593,4.255137967,2.924480274263538,0.18948593340423972,1.908722157,3.141055336,1.9852476633886884,0.7991270776611228,0.00615618,3.138938493,0.12172573189522343,0.07042372881355932,0.5259493670886075
control,pre101,1,0.19230436124813896,1.4863074041168671,-3.137525725,3.114187115,0.12351411008684862,6.251989611595339,-122.839748,3.408400674,16.852921514223326,7.15399274434739,1.992305631,39.4933064,6.509244867292804,1.3773508952411415,1.057630413,9.092354596,3.4558592343498757,2.4475140195603826,0.020315023,13.21250972,4.742542925126551,4.030570623665668,0.001337583,23.59029642,3.7865449238188584,1.0257480005914967,0.753899889,5.744380378,2.724308411049628,1.3592071151797354,0.087918143,5.966716033,2.674194167441687,0.5240873775779483,0.120634433,3.140380214,1.5128573506153846,0.6738462439160625,0.023163475,3.140222481,0.07704160246533127,0.03415254237288136,0.403
control,pre101,2,0.3057742814956772,1.8516236865509774,-3.121520946,3.113961876,-0.05358861967146975,11.705295286341707,-125.5376269,125.4883942,16.218228469046107,6.830357332220148,1.771851433,35.08595884,7.607022638305476,1.4179555278217248,1.153060677,9.799823977,2.441627742818444,1.670478529617867,0.110257443,11.33955756,4.735030294351585,2.5996127105832594,0.037558338,10.61152903,3.210252827685879,1.128880734782857,0.787631146,5.773606516,3.853240483412104,1.5590870191487318,0.173174593,6.188466907,2.4143305479193082,0.8470021102810033,0.016610778,3.141214472,1.82131998318732,0.7110436706124437,0.000661416,3.134362732,0.0724191063174114,0.02940677966101695,0.36914893617021277
control,pre101,3,-0.03691797439548872,1.8820416527299373,-3.125108464,3.133264681,0.12906809772030078,10.886630086374625,-125.4383508,125.3503293,16.602213790633083,7.3466258126964465,1.620028773,49.29998009,5.907649204395489,2.2946132348906247,0.248982898,9.104130173,6.9106326546421055,4.719531427871639,0.044045777,23.61852879,0.733003582550376,0.9030492461321123,0.000852738,5.446542836,5.75029947293985,0.6366975470755253,3.413457662,7.12902693,0.3482084774481203,0.3450084593630409,0.000139181,2.272819796,2.966379514039098,0.17567799945458817,1.81305407,3.140589588,1.9798392601233084,0.7266330112892162,0.004138607,3.134111674,0.07087827426810478,0.05635593220338983,0.7228260869565217
control,pre101,4,-0.08775704374829932,1.8671140393567398,-3.12909563,3.135656129,0.01666698847959184,11.494598374457148,-125.0910864,125.2049682,15.45797600794983,6.398990325520051,0.591141232,42.71214798,5.995328614379251,1.9487530263353579,0.304484733,9.00357116,3.169585538254252,2.703872147967789,0.00944605,17.08790684,0.9465636894251701,1.6957174351093118,0.000190821,17.86997025,5.106823717294217,0.8423210391925433,2.746836507,7.163499572,0.7719418818486395,0.5605851391854804,0.000301407,4.404000279,2.881831932892007,0.24809554433907116,1.482336674,3.141373167,1.7018884792074829,0.759799074916461,0.042108023,3.124778623,0.0847457627118644,0.09966101694915254,1.069090909090909
control,pre101,5,-0.2671621359411765,1.6034163513132014,-3.071928616,3.127702327,-0.04377476987647059,11.032615459281828,-5.476675523,124.6954538,15.506263352574509,6.567962340471659,0.424716281,42.65255335,5.2168905054,1.4924343178248638,0.976556429,8.535884817,3.9254494572058825,3.3497620192544284,0.010025925,15.86582876,1.4561618753039216,2.049480776463481,0.000841877,14.25148966,4.671009487307844,0.6182819023783015,2.927917396,6.375566047,1.1574151711411764,0.7236443155370134,0.011219628,4.775257818,2.8643800720313726,0.20567523328975332,2.155010893,3.140119831,1.2799570807627452,0.8072589266956419,0.002279306,3.108836125,0.05546995377503852,0.043220338983050846,0.7083333333333333
control,pre101,6,0.3786059121976744,1.7113789648280515,-3.037977695,3.13689772,0.28322229025193796,7.794112427510183,-2.938377052,124.5169691,16.50997323618992,7.209769976441881,2.020629673,44.50502971,7.693543246713179,1.6558875647509237,1.755495041,10.04290017,2.12195905222093,1.534999205766606,0.127243248,10.02082164,4.116083802205426,3.859307655543874,0.025644721,25.712217,2.3453671772906977,0.9011034918207333,1.093013914,4.404197003,5.47864917570155,0.6488109622920857,2.48380259,6.385407387,1.8560402469728683,0.8788703382532828,0.005560041,3.135273172,1.1691144390465116,0.5632656600881666,0.048226585,3.065381713,0.03389830508474576,0.021864406779661016,0.5863636363636363
control,pre101,7,-0.1584965642989899,1.5271526202976111,-3.054335824,3.052937567,0.1390481818848485,5.6674020342600855,-2.564734472,124.5077193,15.267887607284848,6.299480967042611,0.0,38.54274174,6.7442997621191925,1.7936225033418862,1.068046861,9.908798897,1.903997945068826,1.6330176042939795,0.040621457,16.98605594,1.5777803904109313,2.355491676896492,0.004332321,27.43754379,2.7221457002585856,1.2499999200302876,0.490253042,6.893358411,3.7466584784343437,1.3590078656398457,0.316754149,6.400362685,2.1535969998121214,0.8107441072069049,0.016567759,3.141332872,1.5557237914949495,0.6824896868002363,0.014927458,3.139808883,0.04930662557781202,0.04194915254237288,0.7734375
control,pre101,8,0.37834656955514706,1.816115417059297,-3.121520946,3.132531534,1.1451088754742647,7.653145612430108,-2.098347578,125.4902369,16.216625371172796,6.708176230844041,2.367642506,36.94818806,5.342469332599265,1.4934897701385248,0.85959784,8.306038021,5.6387440474742645,4.167484270968957,0.046345879,17.27936485,1.7089697620110293,1.490596631154927,0.000386954,9.034899777,5.020936760713235,0.859222285745826,3.034611389,6.779710659,1.617889506352941,0.8797318256982054,0.007417969,4.018770858,2.8907726475367648,0.19245681295514505,2.308919671,3.13609996,1.6147177612279413,0.7672723149294599,0.012708068,3.135952806,0.032357473035439135,0.02305084745762712,0.6476190476190476
control,pre101,9,0.36194522146720215,1.8461467828775333,-3.140899321,3.140370497,-0.416373630352075,14.373272179058326,-125.0332253,5.698572006,15.869578572392236,7.016527143125859,0.991931871,41.68400092,6.59077957734672,1.7004274735451892,0.154196781,9.289659505,3.7551744966037486,3.070020191979126,0.00936246,15.75053166,0.8035365826787149,1.1067171917755392,0.000547455,7.174618752,4.804722537212852,0.8002368223612998,2.022318997,6.698790131,0.6149571910709505,0.5235028520226204,0.001492004,3.207762758,2.8955654420803216,0.21298510647970206,2.041787981,3.141255528,1.724700691167336,0.7882993195335998,0.00421407,3.137905289,0.03389830508474576,0.06305084745762712,1.6977272727272728
